lý luận, văn hóa, khoa học, kỹ thuật, giáo dục, hiện đại, kinh tế, chính trị, tâm lý, xã hội, lịch sử, đại học, nghiên cứu, phát triển, tư duy, thực hành, nguyên tắc, chiến lược, tổng hợp, chuyên môn, diễn giả, nghệ thuật, nguyên liệu, hệ thống, công nghệ, tiềm năng, đổi mới, khả năng, tính toán, quy hoạch, phát huy, triết học, nhân loại, quốc gia, thời gian, học tập, tri thức, suy nghĩ, lôgic, quản lý, thông tin, khoa học, mối quan hệ, thương nghiệp, ngoại giao, kế hoạch, sức mạnh, lựa chọn, nguyên nhân, tin tưởng, hành vi, pháp luật, thí nghiệm, chiến thuật, quy tắc, giao lưu, thu được, mở rộng, tình huống, thường nhật, sức khỏe, thị trường, nghiên cứu, tuyển chọn,  nghiên cứu, thành tựu, hiệu suất, thành tích, thương vụ, lãnh đạo, cạnh tranh, hợp tác, mô hình, nhân lực, mục tiêu, quan sát, tuân thủ, suy xét, quan hệ, đối mặt, thay đổi, hướng đi, tiềm ẩn, trưởng thành, kế hoạch, phản ánh, chi phí, đánh giá, phân biệt, hiệu suất, hiệu năng, tiêu chuẩn, nhiệm vụ, khả năng, mô hình, vị trí, kỳ vọng, giao tiếp, quản lý, chiến lược, 

理論, 文化, 科學, 技術, 教育, 現代, 經濟, 政治, 心理, 社會, 歷史, 大學, 研究, 發展, 思維, 實踐, 原則, 戰略, 綜合, 專業, 演講者, 藝術, 原料, 系統, 科技, 潛能, 創新, 能力, 計算, 規劃, 發揮, 哲學, 人類, 國家, 時間, 學習, 知識, 思考, 邏輯, 管理, 資訊, 科學, 關係, 商業, 外交, 計畫, 力量, 選擇, 原因, 信任, 行為, 法則, 實驗, 策略, 規則, 交流, 獲得, 發展, 社會, 日常, 健康, 市場, 研究, 選擇, 學習, 發展, 績效, 實績, 商務, 領導, 競爭, 協作, 模式, 人力, 目標, 觀察, 遵守, 思索, 人際, 面對, 變化, 走向, 潛在, 成長, 計畫, 反映, 費用, 代價, 識別, 績效, 效能, 標準, 任務, 能力, 模型, 位置, 期望, 溝通, 管理, 战略, 

lý luận, 理論
1: văn hóa, 文化
2: khoa học, 科學
3: kỹ thuật, 技術
4: giáo dục, 教育
5: hiện đại, 現代
6: kinh tế, 經濟
7: chính trị, 政治
8: tâm lý, 心理
9: xã hội, 社會
10: lịch sử, 歷史
11: đại học, 大學
12: nghiên cứu, 研究
13: phát triển, 發展
14: tư duy, 思維
15: thực hành, 實踐
16: nguyên tắc, 原則
17: chiến lược, 戰略
18: tổng hợp, 綜合
19: chuyên môn, 專業
20: diễn giả, 演講者
21: nghệ thuật, 藝術
22: nguyên liệu, 原料
23: hệ thống, 系統
24: công nghệ, 科技
25: tiềm năng, 潛能
26: đổi mới, 創新
27: khả năng, 能力
28: tính toán, 計算
29: quy hoạch, 規劃
30: phát huy, 發揮
31: triết học, 哲學
32: nhân loại, 人類
33: quốc gia, 國家
34: thời gian, 時間
35: học tập, 學習
36: tri thức, 知識
37: suy nghĩ, 思考
38: lôgic, 邏輯
39: quản lý, 管理
40: thông tin, 資訊
41: khoa học, 科學
42: mối quan hệ, 關係
43: thương nghiệp, 商業
44: ngoại giao, 外交
45: kế hoạch, 計畫
46: sức mạnh, 力量
47: lựa chọn, 選擇
48: nguyên nhân, 原因
49: tin tưởng, 信任
50: hành vi, 行為
51: pháp luật, 法則
52: thí nghiệm, 實驗
53: chiến thuật, 策略
54: quy tắc, 規則
55: giao lưu, 交流
56: thu được, 獲得
57: mở rộng, 發展
58: tình huống, 社會
59: thường nhật, 日常
60: sức khỏe, 健康
61: thị trường, 市場
62: nghiên cứu, 研究
63: tuyển chọn, 選擇
64:  nghiên cứu, 學習
65: thành tựu, 發展
66: hiệu suất, 績效
67: thành tích, 實績
68: thương vụ, 商務
69: lãnh đạo, 領導
70: cạnh tranh, 競爭
71: hợp tác, 協作
72: mô hình, 模式
73: nhân lực, 人力
74: mục tiêu, 目標
75: quan sát, 觀察
76: tuân thủ, 遵守
77: suy xét, 思索
78: quan hệ, 人際
79: đối mặt, 面對
80: thay đổi, 變化
81: hướng đi, 走向
82: tiềm ẩn, 潛在
83: trưởng thành, 成長
84: kế hoạch, 計畫
85: phản ánh, 反映
86: chi phí, 費用
87: đánh giá, 代價
88: phân biệt, 識別
89: hiệu suất, 績效
90: hiệu năng, 效能
91: tiêu chuẩn, 標準
92: nhiệm vụ, 任務
93: khả năng, 能力
94: mô hình, 模型
95: vị trí, 位置
96: kỳ vọng, 期望
97: giao tiếp, 溝通
98: quản lý, 管理
99: chiến lược, 战略
